ax,ay,az,gx,gy,gz,activity
10.1455,-3.0358,-2.9048,17.3339,-4.4555,-13.9770,1
10.0737,-3.3810,-3.1483,19.7753,0.9155,-14.8925,1
10.0337,-3.5288,-2.9066,20.2025,3.7841,-8.7890,1
9.9194,-3.5054,-2.7726,19.3480,-18.7987,0.2441,1
9.4157,-3.4019,-2.6919,26.3671,-3.7841,7.9955,1
8.7720,-3.7866,-2.4909,25.4515,-13.9770,12.5121,1
7.9417,-3.4289,-1.9130,23.9867,-5.4931,12.4511,1
8.0404,-3.1579,-2.2642,16.6015,-12.1459,7.6293,1
8.4556,-2.7092,-2.3940,9.7656,-6.5307,4.2114,1
8.6105,-3.0000,-3.1190,-1.3427,0.7934,0.7934,1
9.1615,-3.3631,-3.2267,-8.2397,5.2490,-3.9672,1
9.3116,-4.3250,-4.3752,-2.9296,1.8310,0.9765,1
8.1373,-5.0201,-4.1844,3.5400,3.1738,8.4838,1
8.1086,-4.0929,-3.6628,0.4882,-2.5634,9.0942,1
8.5064,-3.3110,-4.5332,-7.5683,-3.7841,0.4272,1
7.9477,-3.4791,-4.8502,-19.9584,-15.8080,0.0000,1
7.3591,-4.1611,-4.5463,-19.0429,-8.7280,2.8076,1
6.8877,-4.1174,-4.3764,-13.9159,-8.6669,0.7934,1
6.7657,-3.7351,-4.9465,-10.2538,-13.1835,-1.0986,1
7.0947,-3.6586,-5.0117,-9.7656,-11.3525,-1.6479,1
7.1790,-3.6813,-5.1744,-10.1928,-4.0283,-1.5869,1
7.0809,-3.9936,-5.0039,-10.6200,3.6010,-3.9672,1
7.1001,-3.9092,-4.8448,-10.9862,6.5307,-3.2958,1
7.1808,-3.6831,-4.7952,-11.8407,4.0283,3.2958,1
7.3519,-3.6436,-4.3232,-12.6952,-3.2348,9.0331,1
7.2406,-4.1515,-4.2269,-11.8407,-21.5453,7.2631,1
7.8729,-4.6606,-4.8969,-7.6293,-29.9071,3.2958,1
8.5788,-4.1371,-5.4699,7.6904,-17.0287,0.5493,1
8.2432,-3.7968,-5.2462,15.5639,-5.4321,-10.5590,1
7.2933,-3.1310,-4.7072,16.2963,0.0610,-16.1132,1
7.2155,-3.1196,-4.8131,19.1649,0.9155,-15.3808,1
8.1032,-3.3583,-5.1457,23.3764,-2.1972,-15.1366,1
8.4628,-3.3607,-5.2378,28.8085,-3.4179,-19.1039,1
7.8305,-2.8875,-5.0027,23.5595,-6.9579,-19.8363,1
7.5086,-2.6398,-4.7018,19.2870,-7.2021,-17.0287,1
7.5517,-3.0693,-4.6731,17.4560,-3.0517,-11.9628,1
7.9770,-3.4289,-4.6701,19.3480,0.1220,-8.9721,1
7.9926,-3.2931,-4.7216,19.6532,1.7089,-6.0424,1
7.9178,-3.0538,-4.4715,16.1742,2.9907,-2.1362,1
7.8801,-3.0203,-4.5044,11.5356,3.7841,0.9155,1
7.9854,-3.1381,-4.4327,5.8593,8.6669,3.6010,1
7.6390,-3.5521,-4.5427,3.6621,11.6576,5.5541,1
7.8789,-4.1515,-4.8687,0.0000,17.3339,9.8266,1
8.4412,-4.7497,-4.5427,-5.7983,14.5263,0.1831,1
7.0947,-4.6510,-4.3531,-10.3759,6.1034,-15.9911,1
6.5653,-4.3495,-4.4877,-6.8359,0.2441,-6.7748,1
7.3465,-4.4177,-4.6809,0.5493,2.0141,-5.1269,1
7.6337,-4.0480,-4.5798,5.8593,2.2582,-10.3149,1
7.4177,-3.7585,-4.4243,8.4228,0.9765,-10.0707,1
7.8119,-3.4420,-4.5996,9.2162,-4.1503,-6.8969,1
7.9375,-3.4283,-4.5960,4.8217,-5.9203,-4.6386,1
8.0650,-3.6532,-4.5762,0.2441,-5.3710,-4.3945,1
7.9477,-3.7082,-4.3519,-3.2958,-1.1596,-4.5165,1
7.7497,-3.3762,-4.1617,-1.2207,0.6103,-2.8076,1
8.0476,-3.0269,-4.1671,0.3051,-1.7700,0.7934,1
8.3437,-3.1028,-4.2532,2.3803,-3.2348,0.7324,1
8.1631,-3.3086,-4.2053,2.8076,0.9765,0.2441,1
8.1326,-3.2476,-4.2179,1.4038,-1.1596,-1.4648,1
8.1996,-3.2931,-4.2616,1.4038,0.0610,0.9155,1
8.1912,-3.2697,-4.2406,2.0751,0.8544,0.8544,1
8.1613,-3.2153,-4.2257,2.3803,-2.5024,-1.2817,1
8.1655,-3.0472,-4.2257,2.9907,-3.9062,0.3662,1
8.1050,-3.0167,-4.4213,3.2348,-5.0659,0.1831,1
8.0255,-3.0346,-4.5278,4.3334,-7.4462,2.5024,1
8.0345,-3.0125,-4.5720,4.9438,-6.7748,3.1127,1
7.9962,-3.0155,-4.8855,5.3100,-6.7748,1.8920,1
8.0057,-3.0849,-4.9112,7.8124,-3.4179,0.6103,1
8.1332,-3.0358,-4.8885,8.8500,0.6713,0.1220,1
8.1942,-2.9437,-4.6767,6.8969,0.6713,0.2441,1
8.1708,-2.9336,-4.6875,7.0800,0.3662,-1.8310,1
8.1379,-2.9383,-4.5852,7.9345,0.8544,-2.1972,1
8.1134,-2.9192,-4.5774,8.1786,0.1831,-1.1596,1
8.2295,-2.9748,-4.5906,8.6669,1.4038,0.1220,1
8.1361,-3.0424,-4.5355,7.2021,2.5634,0.5493,1
7.9543,-3.1722,-4.4685,6.6528,2.8686,1.5258,1
7.9932,-3.3224,-4.5499,7.2631,5.8593,3.4789,1
8.0662,-3.4331,-4.5014,6.5917,7.9955,3.7841,1
8.0931,-3.5575,-4.5134,5.2490,7.8124,3.1738,1
8.0775,-3.5138,-4.5218,3.3569,6.7138,2.5634,1
8.0823,-3.4289,-4.5804,2.9907,7.0800,2.3193,1
7.7724,-3.4002,-4.4231,2.5634,7.8735,1.9531,1
